Comment,Sentiment,Emotion,Spam
I call this High Level Advanced rigging (those people can easily be bought). So basically people don't choose their own president. How on earth is this a democracy?,negative,Sad,0
Moral of the story is if you vote Democrat in a red state or vice versa you might as well wipe yourself with your ballot and flush it down the toilet.,negative,Anger,0
"""...sponsored by Absolut"" Yes, because no matter the result, we will ALL need a drink afterwards!",negative,Neutral,-2
"""Thus without corrupting the body of the people."" - Alexander Hamilton, Federalist No.68",neutral,Neutral,-2
I'm from Wyoming and today I'm voting for Joe Biden.,positive,Neutral,-2
"Each time US elections happen, I try to refresh my understandings of its election system. Belive me, I think I got it but then I leave it at it.",neutral,Neutral,-2
"After listening for five minutes I realize I would never understand, I move on and wait for Trump.",neutral,Neutral,-2
The “country of freedom” doesn’t even have a direct democracy 🤦‍♂️,negative,Sad,0
"After watching tons of vids about electoral college, my confusion came down from 99% to 96. Good job vox.",positive,Neutral,-2
"So when people say ""Not my president"" it's because they're not actually your president.",neutral,Neutral,-2
It needs to be eradicated.  No person should have 3 million more votes and lose the election.....,neutral,Sad,0
Ahh thank you so much for this ❤️,positive,Joy,0
I literally just watched this video in my AP macroeconomics class last period,neutral,Neutral,-2
"""In america we do it a little different""",neutral,Neutral,-2
"Every democracy : one vote,one value
America : we don't do that here",neutral,Neutral,-2
"If more people knew about this, they wouldn’t vote cause they know their vote doesn’t matter at the end of the day.",neutral,Sad,0
Justin Trudeau won the last election with less individual votes than his opponent,neutral,Neutral,-2
"I have an idea. Make the election only winnable by popular vote. Also increase the number of polling stations. Let people have to do a retinal scan, fingerprint scan, enter SSN #, show  ID, and enter a password to vote. Let them be able to vote in whatever state as well. No mail in ballot nonsense everything computerized and easy for the American people. It's 2020 make it easier for people.",neutral,Neutral,-2
The President Election Only Matter If Florida Votes,neutral,Neutral,-2
"Here in Iran, the supreme leader decides who will win an election!",negative,Anger,0
I need VODKA to understand this,negative,Joy,0
Whoever did the data visualization part in the video deserves a medal.,positive,Joy,0
Maine and  Nebraska are different.  They allocate the first two Electoral College  (representing the Senators) go to the overall state winner.  The other Electoral College votes are allocated to the Presidential winner of each congressional district.  Note in 2016 one of Maine's  EC votes was assigned to President Trump.,neutral,Neutral,-2
Me in laughs In Middle Eastern Monarchy without no voting system,negative,Sad,0
"‘If Voting Made a Difference, They Wouldn’t Let Us Do It’",negative,Sad,0
"Intel now compete in APUs which is great news as it is competition. """,neutral,Joy,0
when the desktop version would be launched?,neutral,Neutral,-2
When is the Xe dropping?,neutral,Neutral,-2
And that 2 core i3... my oh my. Can you compare it to any Pentium U laptop when if get a laptop with it?,neutral,Neutral,-2
Love your work. More balance with a professional English spin.,positive,Joy,0
"When you're not ready to make a review, why not wait?",neutral,Sad,0
OK~ THEN WHEN CAN I BUY IT>?,neutral,Neutral,-2
So when is it coming out? I have been holding off for three years now. I think it is time,neutral,Neutral,-2
"I like your way of presentation, hope to see you up to 1M soon",positive,Joy,0
And AMZ releases a new CPU. Bye Bye this laptop.,neutral,Neutral,-2
Anyone knows when laptops usually drop in price?,neutral,Neutral,-2
great video ... let you my usual thumb up rating as a 'thank you' for posting.  stay safe there - i am here in san francisco.,positive,Joy,0
"Don't care

I'm buying Ryzen",neutral,Neutral,-2
Waiting for your Apple watch SE video 🔥,positive,Joy,0
That glitch effect ar the ending,neutral,Sad,0
Plz do consider reviewing Lenovo ideapad s540 amd 13 pro,neutral,Neutral,-2
"it'd be awesome to see this in the gpd win max with 11th gen, imagine the power. but the price...",positive,Joy,0
"If you wanted to compare Intel vs amd you should have taken the ryzen 9 4900 hs for laptop or atleast the ryzen 7 4800h as the 4800u is the not a 36w unit and comparing is kinda unfair
Plus the 4266 ram also would have had some influence in the performance so it's not a very apples to apples comparison anyway",neutral,Neutral,-2
"I'm an architect, and I'm looking for a new laptop, would this new laptop work for me? I use it a lot for rendering, and 3d programs.  If not, which could you recommend?",neutral,Neutral,-2
"Honestly, my next laptop will be a ryzen. Intel seems to be holding off improving their chips, amd is just better in most ways",neutral,Joy,0
Wait wait & wait don’t buy  & again wait :) this goes on,negative,Neutral,-2
It's always good to see your videos. Good videos with great content.,positive,Joy,0
"Thanks, AMD.",positive,Joy,0
"Really good stuff,keep it coming .",positive,Joy,0
Now it's all about the cooling system that I care the most,neutral,Neutral,-2
Just receive my new laptop to day ...,positive,Sad,0
WHERE'S THE SURFACE DUO REVIEW??,neutral,Anger,0
Me with my XPS 15 2020: 👁💧👄💧👁,neutral,Neutral,-2
You know i just bought a laptop last week,neutral,Sad,0
I’ll be honest..... I could have watched this video 14 hours ago when I bought my new laptop.... now I got to return it,negative,Sad,0
Great... just ordered at $2500 HP ZBook Firefly G7 last week! 🤦‍♂️,negative,Sad,0
4 core i7 and i5 still in this age wtf,negative,Anger,0
I'm asking in general if I had to buy a laptop that is cheap and fast enough like around i5 or ryzen chip of the same speed or something which one should I buy I was really attracted towards samsung galaxy book flex alpha,neutral,Neutral,-2
You look like sheldon cooper from Big Bang theory,neutral,Neutral,-2
Looks similar to the asus UX435EGL/EAL.. Comparison please!,neutral,Neutral,-2
"Im waiting for a new laptop since 2014
Pls im tired",negative,Sad,0
"How about, hear me out here, you wait for the next gen ryzen laptops instead",neutral,Joy,0
First!!!,neutral,Joy,0
When is the Swift 5 coming?,neutral,Neutral,-2
I am planning to buy a new laptop? seems like its not the best time I guess XD,neutral,Joy,0
AMD screwed up by not having any mobile chips available to actually sell laptops.,negative,Anger,0
when will the first tiger lake laptop's come out?,neutral,Neutral,-2
11th gen is gonna beat amd 4000 series very ez,positive,Joy,0
"Now my dream laptop- Surface book 4, 13.5 inch with new 11 gen including new Iris Xe in the tablet and new 3050 Nvidea gpu in the base. 😁",positive,Joy,0
"please, compare its gaming performance with i5-8305G",neutral,Neutral,-2
"Another great video thanks! I’ve become a subscriber and avid fan of the channel as I’m looking to buy a creator laptop capable of 1080p/light 4K editing and thanks to you I’ve discovered the MSi range and some other manufacturers’ models that have stopped me simply buying an unsuitable laptop from my local pc superstore.  I’m holding off in anticipation of new models between now and December. However, I’m imagining these 11th gen processors and the Xe graphics are more likely to be strong competition for 11”-14” Ultrabooks with integrated or MX series graphics rather than the 15” 6 core GTX series laptops I’m looking at. Do you agree? Should I still be looking for a 10th gen i7 H or U series powered machine in the larger form factor or do you think any of the 11th gen powered 14” laptops eg from MSi or Asus might now be viable (and not overheat & throttle)?",positive,Joy,0
I want it to come out tomorrow 😭😭😭😭😭😭😭,neutral,Sad,0
Any idea on pricing?,neutral,Neutral,-2
Hope it's a 144hz screen!!!,neutral,Joy,0
How does it feel when it's actually in your laptop with the raised bit?,neutral,Sad,0
the usb adapter witch we see at 4:19 is it connected to both usb c? if not do you know if dongle like that exist also for msi instead of apple?,neutral,Neutral,-2
"Great video as usual Tom 👍 I am looking forward to Zephyrus G14 or HP Omen 15 (Ryzen 5, 1650Ti). And these Tiger lake powered laptops seems a great deal, but if you're asked to pick one from G14 or Omen 15, which one would you suggest !? Also, will we be able to see Tiger lake powered Acer Swift 3/5 and HP Envy 13/15 ? please let us know if you have anything ! Peace ✌️",positive,Joy,0
Every time I wait amd comes out with something better,positive,Joy,0
I want to buy at end of the year but I feel like the 3000 Mobile series will be god tier and that releases next year at best,positive,Joy,0
This IGPU has the same performance in a i3 11 gen?,neutral,Joy,0
Yo ! how many Kidneys for this one 😅,neutral,Joy,0
Portugal Caralho! 1:24,neutral,Neutral,-2
I bought one on the cheap with a 10th gen H series processor and a great graphics card. Couldn’t have gotten the same very expensive laptop without it being so close to 11th gen Intel. So I’d say the opposite.,negative,Sad,0
seems like for the most cases there won't be a need for the mx450.. thanks!,positive,Joy,0
My wallet clicked this video,neutral,Neutral,-2
Love your video tech champ you deserve a 1 million subs,positive,Joy,0
"To late : i7 10750h , rtx 2070s and 32gb ram",neutral,Sad,0
"I'm sure, it will going to be ridiculous expensive again.",negative,Anger,0
Is it worth waiting for the Dell XPS 2020 13 inch to get tiger lake?,neutral,Neutral,-2
"I wonder hows the price gonna be ... I just bought a Yoga Slim 7 with 4500U, its arguably the best latop for its price in our country and I love it",positive,Joy,0
"Cams here to see the video, realised it's Intel after reading the full title, and stopped. Bye Bye. Don't want Intel, just because they have been fleecing their customers all along.",negative,Anger,0
I think you missed a big opportunity to run an egpu on the built in thunderbolt 4!  Can you make a video about this?,neutral,Neutral,-2
Selling my MSI Titan GT75 8RG for 1500 CAD this morning for the RTX3080 but might hold off till pay day sell the laptop and get a new laptop hmmmmmmmmmmmmmm pre build or laptop hmmmmmmmm,neutral,Neutral,-2
"Switches to battery saving mode.
Battery life goes down.
LOL. Windows, go home, you're drunk.",negative,Anger,0
"I see this will be great for laptops and small amounts of gaming on laptops but for us pc builder's I think I'll look elsewhere I'm not liking the specs, it's sounds like a great time for lower spec laptops thou",neutral,Neutral,-2
"How was the ""laptop's"" trackpad? Does the cursor still move after you stop moving your finger?",negative,Anger,0
I want to buy Lenovo thinkpad x1 extreme you think I should should wait for 11th gen ? When would x1 extreme come out with 11th gen ?,neutral,Neutral,-2
AMD needs 7nm to beat intel’s 10nm,neutral,Joy,0
How do you get pre-release products?   That's really cool.,positive,Joy,0
4C/8T? No thanks.,neutral,Sad,0
"Like the idea of game drivers by game, save a lot of bloatware.",positive,Joy,0
I need a new laptop in less than 2 months...Should I wait for this or should i buy a Ryzen based laptop now?,neutral,Neutral,-2
We had a great taste of what to expec 1:09.😄😄,positive,Joy,0
"Hold ye horses, rtx 3000 series with 11th gen intel just around the corner.",neutral,Neutral,-2
what is predicted price and for summit e 14 too !?🤔,neutral,Neutral,-2
Notification crew assemble 💚,positive,Joy,0
"So Fortnite lags on a 16 Gb DDR4-4100Mhz eith 8 core cpu at <14 nm technology grom 3 Ghz intel cpu and with nvidia >2Gb GDDR5 Ram.

Fortnite is a Windows 10 that just want to eat your money and pc",negative,Anger,0
"one or two bugs
shows catastrophe of a computer",negative,Sad,0
Came here for searching right now,neutral,Neutral,-2
why are you giving me the intel shill vibe?,negative,Sad,0
Great i just bought an xps 13 9300 like a week ago,negative,Sad,0
"Hey Tom, next opportunity you have with a Xe graphics based computer, could you also test the game Cities Skylines? This is a favourite of mine but requires dedicated graphics. It barely runs on my intel graphics 4000, and it doesn't render the assets correctly. I'm curious if the new integrated graphics Xe are capable of rendering it. Thanks.",positive,Neutral,-2
what a sexy design wow,positive,Joy,0
Just received my laptop😓,negative,Sad,0
"Yeah you can buy, intel has nothing on those renoir laptops",negative,Anger,0
Know any laptops that will come out with 11th generation soon?,neutral,Neutral,-2
Intel: Fossil Lake,negative,Anger,0
"Linus: Intel you suck, you lost
Intel: Let's sponsor Linus",negative,Neutral,-2
Lisa Su is every gamer's mom at this point,neutral,Neutral,-2
"Linus: ""Intel lost the game""
Linus again 3 days later : THIS VIDEO IS SPONSORED BY INTEL. INTEL MAKES THE HIGHEST QUALITY PROCESSORS IN THE WORLD. WHEN IT COMES TO GAMING, INTEL IS THE BEST. CHECK OUT LTTSTORE BY THE LINK GIVEN BELOW!",negative,Neutral,-2
"Intel : we change our CPU's name
AMD: we upgrade our CPU
Intel :O",negative,Neutral,-2
"AMD is what happens when a technology major becomes CEO, Intel is what happens when a business major becomes CEO.",neutral,Neutral,-2
"""Anthony is going to be very very busy reviewing these products""

Me: Turns on bell icon",positive,Neutral,-2
"The only problem is, in most countries outside US and EU, that 50$ increase is going to turn into a 150$ increase..",negative,Anger,0
I'm starting to feel like building a new gaming pc at the start of 2020 was a bad idea...,neutral,Sad,0
I'm sitting here with a Ryzen 1700x lol waiting for these 5000s to release,neutral,Neutral,-2
"Intel guy 1 : ""Linus is roasting us again. What should we do?""
Intel guy 2 : ""Hm, let me think. Oh I know....let's sponsor him!""
Intel guy 1 : ""Brilliant!""",negative,Neutral,-2
"AMD 5000 in PC: let me guess, this was your home?
Intel I-9: It was",neutral,Neutral,-2
Breaking News: Intel CEO gathered all his Directors into a small room like Hitler and fired them all.,negative,Anger,0
"With Apple deserting Intel and AMD powering ahead you'd think heads would be rolling at Intel. This is not a technology problem, this is a management problem.",neutral,Anger,0
"Intel: poop lake
Intel: cow dung lake",negative,Anger,0
"intel: “quick, more $5,000 setup sponsorships!”",negative,Neutral,-2
"4K: "" I'm Here!""
8K: "" Now I""M here!""
1080p Benchmarks: "" I Ain't  going ANYWHERE mother$#@&s!""",neutral,Neutral,-2
"Intel has fallen, AMD has Ryzen.",neutral,Neutral,-2
Coffin Lake: Intel Inside®,negative,Neutral,-2
"Intel has lost it since mid 2019, i can hear their fanboys crying, mmm salty intel fanboy tears!",negative,Neutral,-2
"11:59PM - Intel sponsored us for this 5000 dolars setup
12:00AM - INTEL LOST

Guy has balls",negative,Neutral,-2
"2:35 - remember, remember the 5th of November",neutral,Neutral,-2
Got damnit! Should've bought AMD stocks a couple of years ago.,neutral,Anger,0
I can’t help but to love when he mentions his sponsors.,positive,Joy,0
Never had any luck with AMD CPU's. Is this finally the time to try my luck again?,neutral,Neutral,-2
Can we all take a minute and appreciate the fact that AMD incluced benchmarks for Battlefield 5. They are not winning in that one game. They just could have not used that bench in the slides. But they did. For that i salute them. Feels more honest.,positive,Joy,0
"Intel: We make the best CPU's!
AMD: Hold my L2 cache",neutral,Neutral,-2
You know Intel is cooking up something that’s gonna get them multimillion dollar fines. Wash rinse repeat.,negative,Anger,0
"I love this bloodbath, do you know what this means boooooois? More Performance for us next year <3",positive,Joy,0
Something tells me that zen3 threadrippers will mop intel's floor so hard they will never recover.,negative,Neutral,-2
"It is named Ryzen 5000, its the 4th gen of ryzen, and the architecture is called Zen 3.",neutral,Neutral,-2
Intel finally lost the processor performance game from AMD.,negative,Sad,0
"7:52 finally a big name tech youtuber mentions the 300 series ryzen motherboard users :')
thought that we've been forgotten since the launch of those 3000 series CPUs",positive,Sad,0
"youtuber: ""a die area increase""
me: chuckles",neutral,Neutral,-2
I’m running a full team red gaming rig with a straight face.,neutral,Neutral,-2
"Intel launch: Keep mentioning AMD's processor.

AMD launch: Keep mentioning AMD's processor.",negative,Neutral,-2
"Man, this makes me happy. I've been running AMD since my first build with an FX-8350; there's been a long dry spell in terms of competitive gaming performance since those days. I'm glad to see real competition in the CPU market again. Hopefully, some of their market share and profits can go towards taking on Nvidia more seriously in the coming years.",positive,Joy,0
The Threadripper 3990x is still WAY MORE POWERFUL...,positive,Joy,0
"i hope they release ryzen 3 5000 series, you know, for poor and budget gaming",neutral,Neutral,-2
3:44: flacid hold: also what Linus requests for his birthday,neutral,Neutral,-2
